environment,protocol,varying,object-count,object-size,rate-limit,delay-time,delay-jitter,delay-correlation,delay-distribution,loss-p,loss-r,loss-h,loss-k,corrupt-percent,corrupt-correlation,duplicate-percent,duplicate-correlation,page-load-time,page-load-time-standard-deviation
ec2,quic,delay-jitter,5,10,50.0,20,40,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,406.8902599994908,86.22286700936877
ec2,quic,delay-jitter,5,10,50.0,20,60,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,494.7737200005213,103.88298724451836
ec2,quic,delay-jitter,5,10,50.0,20,80,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,565.5516199991689,165.02187551726513
ec2,quic,delay-jitter,5,10,50.0,20,100,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,630.1843999998528,159.39617932075862
ec2,tcp,none,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,478.8599599999725,17.255494152187616
ec2,tcp,rate-limit,5,10,1.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,543.7341599992942,10.023338515645568
ec2,tcp,rate-limit,5,10,5.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,487.0978599996306,18.920600626822395
ec2,tcp,rate-limit,5,10,10.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,487.04576000134693,17.250080812597936
ec2,tcp,rate-limit,5,10,25.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,482.1913399992627,15.156566232116884
ec2,tcp,rate-limit,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,478.8599599999725,17.255494152187616
ec2,tcp,object-count,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,478.8599599999725,17.255494152187616
ec2,tcp,object-count,10,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,832.8266000011354,28.257549744451616
ec2,tcp,object-count,50,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,1277.221000000136,316.26585037481345
ec2,tcp,object-count,100,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,1376.0080999994534,200.46129700113553
ec2,tcp,object-count,200,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,1524.8758800004725,239.34441054965194
ec2,tcp,object-size,5,5,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,250.54554000031203,9.258636406917297
ec2,tcp,object-size,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,478.8599599999725,17.255494152187616
ec2,tcp,object-size,5,100,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,769.1709800000535,75.71026409630635
ec2,tcp,object-size,5,200,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,1335.489940000989,368.8592609771975
ec2,tcp,object-size,5,500,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,1460.6221799991908,168.33724024049158
ec2,tcp,object-size,5,1000,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,1903.2380800007377,304.145356685882
ec2,tcp,loss-p,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,478.8599599999725,17.255494152187616
ec2,tcp,loss-p,5,10,50.0,20,5,25,normal,1.0,99.0,100.0,0.0,0.0,25,0.0,25,506.9743999990169,78.74722226828574
ec2,tcp,loss-p,5,10,50.0,20,5,25,normal,2.0,98.0,100.0,0.0,0.0,25,0.0,25,570.6032200006302,136.6518348024462
ec2,tcp,loss-p,5,10,50.0,20,5,25,normal,3.0,97.0,100.0,0.0,0.0,25,0.0,25,689.4433799997205,336.64728114680526
ec2,tcp,loss-p,5,10,50.0,20,5,25,normal,5.0,95.0,100.0,0.0,0.0,25,0.0,25,714.17368000024,233.36986012457257
ec2,tcp,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,478.8599599999725,17.255494152187616
ec2,tcp,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,1.0,25,0.0,25,481.052319999726,18.443265459687478
ec2,tcp,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,2.0,25,0.0,25,484.7921400007908,17.427033504223186
ec2,tcp,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,3.0,25,0.0,25,479.59139999962645,23.20718977746693
ec2,tcp,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,5.0,25,0.0,25,488.62819999980275,30.718195345845036
ec2,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,478.8599599999725,17.255494152187616
ec2,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,1.0,25,478.78939999995055,18.604515188876057
ec2,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,2.0,25,485.8790600011707,31.717001966059282
ec2,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,3.0,25,483.45387999986997,15.223139135991248
ec2,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,5.0,25,481.2066999997478,14.105863871027774
ec2,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,10.0,25,473.73905999964336,20.60123726577705
ec2,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,15.0,25,473.9030800006003,20.63759398478254
ec2,tcp,delay-time,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,478.8599599999725,17.255494152187616
