environment,protocol,varying,object-count,object-size,rate-limit,delay-time,delay-jitter,delay-correlation,delay-distribution,loss-p,loss-r,loss-h,loss-k,corrupt-percent,corrupt-correlation,duplicate-percent,duplicate-correlation,page-load-time,page-load-time-standard-deviation
ec2-east1,quic,delay-time,5,10,50.0,150,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,649.932920000283,12.503538736855187
ec2-east1,quic,delay-time,5,10,50.0,200,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,852.9574400006095,12.005703031607476
ec2-east1,quic,delay-jitter,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,111.63105999905383,14.581238955119687
ec2-east1,quic,delay-jitter,5,10,50.0,20,20,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,166.88258000009228,32.02080019461524
ec2-east1,quic,delay-jitter,5,10,50.0,20,40,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,223.43143999984022,46.35469205129792
ec2-east1,quic,delay-jitter,5,10,50.0,20,60,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,287.1064000003389,69.80335936260146
ec2-east1,quic,delay-jitter,5,10,50.0,20,80,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,374.0848200005712,121.03015897812762
ec2-east1,quic,delay-jitter,5,10,50.0,20,100,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,437.69450000021607,156.25071079407832
ec2-east1,tcp,none,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,99.60089999978663,7.460142981308495
ec2-east1,tcp,rate-limit,5,10,1.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,419.68934000004083,70.84939912764465
ec2-east1,tcp,rate-limit,5,10,5.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,129.75923999940278,13.121180874500492
ec2-east1,tcp,rate-limit,5,10,10.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,108.25087999925017,7.548946605747899
ec2-east1,tcp,rate-limit,5,10,25.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,102.8528600014397,8.632321385237631
ec2-east1,tcp,rate-limit,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,99.60089999978663,7.460142981308495
ec2-east1,tcp,object-count,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,99.60089999978663,7.460142981308495
ec2-east1,tcp,object-count,10,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,117.65549999894574,12.4579273942178
ec2-east1,tcp,object-count,50,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,243.82912000000942,17.88850931441194
ec2-east1,tcp,object-count,100,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,320.92837999924086,22.8792649624417
ec2-east1,tcp,object-count,200,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,508.74945999967167,35.805025327417866
ec2-east1,tcp,object-size,5,5,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,65.25603999762097,7.462052415254576
ec2-east1,tcp,object-size,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,99.60089999978663,7.460142981308495
ec2-east1,tcp,object-size,5,100,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,229.47175999928731,22.252702727686426
ec2-east1,tcp,object-size,5,200,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,316.62681999936467,23.488133317498328
ec2-east1,tcp,object-size,5,500,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,555.3452599988668,20.901471933629235
ec2-east1,tcp,object-size,5,1000,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,968.6262599998736,21.92079145280164
ec2-east1,tcp,loss-p,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,99.60089999978663,7.460142981308495
ec2-east1,tcp,loss-p,5,10,50.0,20,5,25,normal,1.0,99.0,100.0,0.0,0.0,25,0.0,25,102.49260000156937,16.3550846120494
ec2-east1,tcp,loss-p,5,10,50.0,20,5,25,normal,2.0,98.0,100.0,0.0,0.0,25,0.0,25,161.25935999996727,104.60633569217076
ec2-east1,tcp,loss-p,5,10,50.0,20,5,25,normal,3.0,97.0,100.0,0.0,0.0,25,0.0,25,175.2167000004556,122.45876036801015
ec2-east1,tcp,loss-p,5,10,50.0,20,5,25,normal,5.0,95.0,100.0,0.0,0.0,25,0.0,25,221.64116000116337,171.61149384897166
ec2-east1,tcp,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,99.60089999978663,7.460142981308495
ec2-east1,tcp,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,1.0,25,0.0,25,98.91412000055425,7.798152944547337
ec2-east1,tcp,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,2.0,25,0.0,25,99.27797999989707,8.811964633230392
ec2-east1,tcp,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,3.0,25,0.0,25,100.03501999890432,7.2751642935685545
ec2-east1,tcp,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,5.0,25,0.0,25,102.80781999928877,33.590297917838114
ec2-east1,tcp,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,10.0,25,0.0,25,289.22098000039114,302.0304956806993
ec2-east1,tcp,corrupt-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,15.0,25,0.0,25,5911.450499997591,9630.914855460447
ec2-east1,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,99.60089999978663,7.460142981308495
ec2-east1,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,1.0,25,100.15134000015678,8.857527940943065
ec2-east1,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,2.0,25,102.17403999966336,7.530757835162176
ec2-east1,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,3.0,25,102.36958000081358,10.129179112527583
ec2-east1,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,5.0,25,101.35692000098061,8.625619888102875
ec2-east1,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,10.0,25,100.85737999877892,8.108495532355457
ec2-east1,tcp,duplicate-percent,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,15.0,25,99.49804000090808,10.282540996203005
ec2-east1,tcp,delay-time,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,99.60089999978663,7.460142981308495
ec2-east1,tcp,delay-time,5,10,50.0,50,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,219.50355999957537,7.844277950930794
ec2-east1,tcp,delay-time,5,10,50.0,100,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,420.5545999997412,9.047441430992665
ec2-east1,tcp,delay-time,5,10,50.0,150,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,621.0405000008177,7.700133390649597
ec2-east1,tcp,delay-time,5,10,50.0,200,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,821.625799999747,7.882258591479997
ec2-east1,tcp,delay-jitter,5,10,50.0,20,5,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,99.60089999978663,7.460142981308495
ec2-east1,tcp,delay-jitter,5,10,50.0,20,20,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,131.58076000050642,31.58943268749444
ec2-east1,tcp,delay-jitter,5,10,50.0,20,40,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,208.5807000019122,50.68319393568651
ec2-east1,tcp,delay-jitter,5,10,50.0,20,60,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,255.07280000019819,62.32545729113264
ec2-east1,tcp,delay-jitter,5,10,50.0,20,80,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,316.63594000041485,75.24569824840007
ec2-east1,tcp,delay-jitter,5,10,50.0,20,100,25,normal,0.0,100.0,100.0,0.0,0.0,25,0.0,25,384.34752000059234,134.6800733576013
