environment,protocol,varying,object-count,object-size,rate-limit,delay-time,delay-jitter,delay-correlation,delay-distribution,loss-p,loss-r,loss-h,loss-k,corrupt-percent,corrupt-correlation,duplicate-percent,duplicate-correlation,page-load-time
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,316.1360000958666
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,392.6760000176728
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,284.821999957785
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,289.41099997609854
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,296.3029999518767
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,304.7810000134632
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,284.931999980472
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,277.083000051789
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,300.5809999303892
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,291.0430000629276
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,276.3249999843538
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,412.4819999560714
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,306.122999987565
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,282.86100004334
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,311.77400005981326
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,284.39599997363985
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,304.0880000917241
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,286.8470000103116
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,284.25699996296316
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,308.5799999535084
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,276.96100005414337
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,310.31899992376566
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,310.4370000073686
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,282.2440000018105
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,271.31500001996756
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,297.36800002865493
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,423.7010000506416
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,299.062000005506
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,308.27499995939434
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,300.31800002325326
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,285.9900000039488
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,266.9890000252053
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,304.024999961257
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,273.7369999522343
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,458.5390000138432
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,287.74699999485165
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,293.15800010226667
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,285.16500000841916
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,283.05700002238154
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,289.76900002453476
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,299.4330000365153
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,432.2120000142604
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,292.19100007321686
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,307.6740000396967
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,287.8410000121221
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,275.182000012137
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,294.66000001411885
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,291.87800001818687
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,292.00199991464615
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,299.9180000042543
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,629.2939999839291
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,415.9019999206066
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,281.61700000055134
local,quic,none,5,10,50.0,20,5,25,normal,0.01,0.99,0,1.0,0.0,25,0.0,25,300.4240000154823
