protocol,latency,varying,rate-limit,packet-loss,object-count,object-size,page-load-time
quic,0,latency,10.0,0.0,0,100,100.295000011101
quic,0,latency,10.0,0.0,0,100,106.687000006787
quic,0,latency,10.0,0.0,0,100,103.159000005689
quic,0,latency,10.0,0.0,0,100,106.652999995276
quic,0,latency,10.0,0.0,0,100,105.865999998059
quic,0,latency,10.0,0.0,0,100,110.786999997799
quic,0,latency,10.0,0.0,0,100,98.3889999915846
quic,0,latency,10.0,0.0,0,100,104.953999994905
quic,0,latency,10.0,0.0,0,100,136.671000000206
quic,0,latency,10.0,0.0,0,100,106.955999988713
quic,0,latency,10.0,0.0,0,100,106.346999993548
quic,0,latency,10.0,0.0,0,100,107.826999999816
quic,0,latency,10.0,0.0,0,100,99.1399999911664
quic,0,latency,10.0,0.0,0,100,106.249000004027
quic,0,latency,10.0,0.0,0,100,98.5660000005737
quic,0,latency,10.0,0.0,0,100,102.721999995993
quic,0,latency,10.0,0.0,0,100,99.1199999989476
quic,0,latency,10.0,0.0,0,100,108.361999999033
quic,0,latency,10.0,0.0,0,100,108.602000007522
quic,0,latency,10.0,0.0,0,100,106.94300000614
quic,0,latency,10.0,0.0,0,100,112.171999993734
quic,0,latency,10.0,0.0,0,100,103.714999990189
quic,0,latency,10.0,0.0,0,100,101.511999993818
quic,0,latency,10.0,0.0,0,100,106.228999997256
quic,0,latency,10.0,0.0,0,100,102.241000000504
quic,0,latency,10.0,0.0,0,100,100.491000004695
quic,0,latency,10.0,0.0,0,100,98.4719999978552
quic,0,latency,10.0,0.0,0,100,107.212000002619
quic,0,latency,10.0,0.0,0,100,105.433999997331
quic,0,latency,10.0,0.0,0,100,100.80499999458
quic,0,latency,10.0,0.0,0,100,100.682999996934
quic,0,latency,10.0,0.0,0,100,107.350000005681
quic,0,latency,10.0,0.0,0,100,103.734000003897
quic,0,latency,10.0,0.0,0,100,101.316999993287
quic,0,latency,10.0,0.0,0,100,108.319999999367
quic,0,latency,10.0,0.0,0,100,102.398999995785
quic,0,latency,10.0,0.0,0,100,102.574000004097
quic,0,latency,10.0,0.0,0,100,113.682000010158
quic,0,latency,10.0,0.0,0,100,105.559000003268
quic,0,latency,10.0,0.0,0,100,105.961000008392
quic,0,latency,10.0,0.0,0,100,106.300999992527
quic,0,latency,10.0,0.0,0,100,104.722999996739
quic,0,latency,10.0,0.0,0,100,107.136000005994
quic,0,latency,10.0,0.0,0,100,108.219000001554
quic,0,latency,10.0,0.0,0,100,109.918999994989
quic,0,latency,10.0,0.0,0,100,102.883999992628
quic,0,latency,10.0,0.0,0,100,107.856000002357
quic,0,latency,10.0,0.0,0,100,102.035999996588
quic,0,latency,10.0,0.0,0,100,105.916000000434
quic,0,latency,10.0,0.0,0,100,104.2790000065
quic,0,latency,10.0,0.0,0,100,101.949000003515
quic,0,latency,10.0,0.0,0,100,108.107000007294
quic,0,latency,10.0,0.0,0,100,106.761000002734
quic,0,latency,10.0,0.0,0,100,99.900000001071
quic,0,latency,10.0,0.0,0,100,102.960000003804
quic,0,latency,10.0,0.0,0,100,102.881999991951
quic,0,latency,10.0,0.0,0,100,102.796999999555
quic,0,latency,10.0,0.0,0,100,102.001999999629
quic,0,latency,10.0,0.0,0,100,113.363999989815
quic,0,latency,10.0,0.0,0,100,102.354999995441
quic,0,latency,10.0,0.0,0,100,106.367000000319
quic,0,latency,10.0,0.0,0,100,103.004000004148
